,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
496,warri,88.75,57,14,3.27,5.5167,5.75
497,baiao,71.31,99,73,2.21,-2.7906,-49.6717
498,mahibadhoo,82.17,69,9,10.36,3.7833,72.9667
499,hobyo,81.21,64,95,19.53,5.3505,48.5268
500,poya,79.34,84,100,4.94,-21.35,165.15
501,bandarbeyla,78.28,64,50,16.67,9.4942,50.8122
502,oristano,48.96,76,75,20.71,39.9,8.6
503,santiago del estero,73.99,91,58,4.88,-27.7951,-64.2615
504,baykit,-25.29,79,0,2.95,61.67,96.37
505,kuche,,,,,,
506,arman,-17.66,75,0,5.75,59.7,150.1667
507,lyngseidet,35.35,70,75,9.22,69.5763,20.2189
508,mareeba,78.91,73,100,6.91,-17,145.4333
509,tabiauea,,,,,,
510,quatre cocos,86.52,74,40,16.11,-20.2078,57.7625
511,west odessa,30.36,69,1,8.05,31.8424,-102.4988
512,rabo de peixe,60.37,88,40,16.11,37.8,-25.5833
513,hualmay,69.51,86,99,6.91,-11.0964,-77.6139
514,zaykovo,8.02,93,100,11.99,57.5613,62.7568
515,ambatondrazaka,91.72,42,91,0.85,-17.8333,48.4167
516,horta,62.6,88,75,23.02,38.5333,-28.6333
517,mitu,69.94,98,91,1.81,1.1983,-70.1733
518,northam,37.98,92,100,3,51.0333,-4.2167
519,caravelas,77.83,82,0,5.93,-17.7125,-39.2481
520,jieshi,64.99,63,0,1.01,22.8134,115.8257
521,pozoblanco,37.4,87,0,1.14,38.3791,-4.8483
522,kapoeta,95.61,20,10,11.99,4.7717,33.5903
523,rota,36.5,100,20,3.44,36.6224,-6.3586
524,umm lajj,73.11,35,0,11.63,25.0213,37.2685
525,palmer,31.77,93,90,3.78,42.1584,-72.3287
526,dakar,66.2,68,97,11.5,14.6937,-17.4441
527,sao felix do xingu,71.19,96,78,0.98,-6.6447,-51.995
528,jiroft,,,,,,
529,san vicente,68.59,77,0,3.76,-26.6167,-54.1333
530,sambava,85.8,69,54,9.19,-14.2667,50.1667
531,lagoa,62.06,84,100,27.47,39.05,-27.9833
532,garoua,82.4,18,8,4.61,9.3,13.4
533,whitehorse,23.81,80,90,13.8,60.7161,-135.0538
534,atar,57.2,38,100,11.5,20.5169,-13.0499
535,gravelbourg,15.8,86,82,11.5,49.8834,-106.5512
536,velizh,2.79,90,100,3.76,55.6056,31.1967
537,vila,42.55,100,35,4.61,42.0304,-8.1588
538,lakselv,35.6,80,75,13.8,70.0513,24.9718
539,kadykchan,,,,,,
540,alibag,81.54,44,0,13.8,18.6411,72.8792
541,zhigansk,-43.74,77,49,6.38,66.7697,123.3711
542,dhemaji,69.8,73,75,1.95,27.4833,94.5833
543,upernavik,15.15,95,99,4.32,72.7868,-56.1549
544,madimba,86,62,20,21.85,-10.4,40.3333
545,bestobe,1.36,89,24,9.84,52.4994,73.0975
546,nantucket,41,93,90,8.05,41.2835,-70.0995
547,buraydah,64.4,72,75,16.11,26.326,43.975
548,araguatins,,,,,,
549,kirakira,81.68,82,100,6.98,-10.4544,161.9205
550,plettenberg bay,70.39,83,87,11.5,-34.0527,23.3716
551,sola,82.4,89,75,2.3,-13.8833,167.55
552,yeppoon,78.8,61,0,8.05,-23.1333,150.7333
553,krasnyy chikoy,-5.6,86,99,3.96,50.3643,108.7512
554,sentyabrskiy,,,,,,
555,hanover,33.87,93,75,6.91,52.3705,9.7332
556,mukhtolovo,11.71,95,100,1.77,55.4644,43.1953
557,balimo,,,,,,
558,emerald,88.57,38,4,5.75,-23.5333,148.1667
559,black river,75.83,78,75,3.44,18.0264,-77.8487
560,jacareacanga,71.44,98,100,1.57,-6.2222,-57.7528
561,eyrarbakki,37.67,70,75,6.91,63.863,-21.1481
562,bama,81.97,17,1,9.33,11.5221,13.6856
563,bonawon,84.2,74,75,6.91,9.134,122.9193
564,havelock,34.88,93,90,3.74,34.8791,-76.9013
565,xining,36.3,56,62,13.67,36.6167,101.7667
566,lolua,,,,,,
567,dicabisagan,74.19,83,89,9.04,17.0818,122.4157
568,paita,71.42,79,100,7.76,-5.0892,-81.1144
569,mangrol,81,36,0,12.5,21.1167,70.1167
570,antofagasta,64.4,77,90,6.91,-23.65,-70.4
571,micheweni,83.25,69,62,11.36,-4.9667,39.8333
572,namatanai,80.82,79,79,4.52,-3.6667,152.4333
573,manavalakurichi,87.8,66,40,3.44,8.1333,77.3
574,san patricio,45.09,57,1,10.36,28.017,-97.5169
575,juba,97.97,12,41,5.35,4.8517,31.5825
576,asfi,54.9,71,8,11.34,32.2994,-9.2372
577,portree,39.99,90,90,18.01,57.4129,-6.1942
578,komsomolskiy,51.8,40,0,2.3,40.4272,71.7189
579,naze,68,73,40,13.8,28.3667,129.4833
580,sterling,33.73,100,1,4.61,39.0062,-77.4286
581,meyungs,,,,,,
582,maryville,40.44,87,90,3.44,35.7565,-83.9705
583,larsnes,28.69,86,75,5.99,62.2028,5.5773
584,kokopo,80.58,80,89,8.5,-4.352,152.2633
585,rungata,,,,,,
586,nkhotakota,82.87,65,100,5.1,-12.9274,34.2961
587,honningsvag,37.4,81,75,13.8,70.9821,25.9704
588,winfield,37.06,51,1,14.97,37.2398,-96.9956
589,usogorsk,0.7,92,99,1.05,63.4106,48.6872
590,songjianghe,5.04,93,100,7.74,42.1859,127.479
591,segou,80.19,15,44,15.73,13.4317,-6.2157
592,high level,17.6,86,90,9.22,58.5169,-117.136
593,kaihua,59.4,55,71,8.08,23.3687,104.28
594,solnechnyy,-9.72,88,71,1.83,50.7214,136.6319
595,saldanha,69.8,83,94,6.91,-33.0117,17.9442
596,ozgon,,,,,,
597,khandyga,-48.33,75,69,1.79,62.6667,135.6
598,meulaboh,83.55,65,14,5.48,4.1363,96.1285
599,luorong,68.63,29,20,0.74,24.4058,109.6086
600,salmo,28.4,86,50,3.44,49.1999,-117.2689
601,mount isa,100.4,16,0,11.5,-20.7333,139.5
602,zemio,96.6,19,0,3.36,5.0314,25.1361
603,plaridel,84.13,70,75,6.91,14.8872,120.8572
604,san quintin,61.07,41,0,2.82,30.4833,-115.95
605,diedorf,25.07,93,90,4.61,48.35,10.7667
606,durant,43.03,39,40,12.66,33.994,-96.3708
607,itarema,80.17,74,64,12.84,-2.9248,-39.9167
608,wenling,62.01,23,0,0.51,28.3669,121.36
609,liku,75.25,86,99,4.45,-0.7275,119.8922
610,sistranda,21.2,93,75,12.66,63.7256,8.834
611,asau,28.99,61,95,0.13,46.4333,26.4
612,shanhetun,-0.99,91,99,8.88,44.7,127.2
613,coihaique,51.8,93,100,4.61,-45.5752,-72.0662
614,biak,80.38,79,97,5.75,-0.9131,122.8766
615,buenavista,78.89,84,76,3.31,8.9769,125.4089
616,caucaia,80.82,78,40,9.22,-3.7361,-38.6531
617,jaisalmer,81.99,11,25,3.91,26.9147,70.9181
618,shu,30.99,89,0,1.01,43.5983,73.7614
619,araouane,65.14,25,98,17.05,18.9048,-3.5265
620,kutum,73.51,20,0,9.55,14.2,24.6667
621,liverpool,32,100,90,8.28,53.4106,-2.9779
622,victoria,63.66,55,3,5.64,22.2855,114.1577
623,ballina,77.63,78,18,17.27,-28.8667,153.5667
624,maceio,75.2,94,40,4.61,-9.6658,-35.7353
625,kindia,81.64,29,44,1.95,10.0569,-12.8658
626,hoquiam,49.77,93,90,11.5,46.9809,-123.8893
627,geraldton,95,34,14,17.27,-28.7667,114.6
628,namtsy,-56.2,58,90,3.56,62.7161,129.6658
629,cayenne,75.2,100,75,3.44,4.9333,-52.3333
630,tambura,98.24,12,0,3.18,5.6,27.4667
631,avera,37.26,95,40,3.44,33.194,-82.5271
